lote_codigo;fase;ordem_importacao;arquivo_csv;dominio;modelos_destino;dependencias;responsavel_funcional;responsavel_dados;responsavel_tecnico;status_preparo;status_validacao;status_carga;criterio_aceite;observacoes
L001;BASE_MESTRE;1;01_orgaos_reguladores.csv;Catalogos;OrgaoRegulador;tenant existente;Coordenacao Regulatoria;Dados Mestre;Tecnologia;PENDENTE;PENDENTE;PENDENTE;orgaos visiveis e sem duplicidade;
L001;BASE_MESTRE;2;02_tipos_documento.csv;Catalogos;TipoDocumento;01_orgaos_reguladores.csv;Coordenacao Regulatoria;Dados Mestre;Tecnologia;PENDENTE;PENDENTE;PENDENTE;tipos ativos e classificados;
L001;BASE_MESTRE;3;03_tipos_processo.csv;Catalogos;TipoProcesso;01_orgaos_reguladores.csv;Coordenacao Regulatoria;Dados Mestre;Tecnologia;PENDENTE;PENDENTE;PENDENTE;tipos vinculados a orgao;
L001;BASE_MESTRE;4;04_fases_tipo_processo.csv;Catalogos;FaseTipoProcesso;03_tipos_processo.csv;Coordenacao Regulatoria;Dados Mestre;Tecnologia;PENDENTE;PENDENTE;PENDENTE;fases ordenadas sem quebra;
L001;BASE_MESTRE;5;05_requisitos_tipo_processo.csv;Catalogos;RequisitoTipoProcesso;02_tipos_documento.csv|03_tipos_processo.csv|04_fases_tipo_processo.csv;Coordenacao Regulatoria;Dados Mestre;Tecnologia;PENDENTE;PENDENTE;PENDENTE;requisitos ligados ao processo;
L001;BASE_MESTRE;6;06_obrigacoes_regulatorias.csv;Catalogos;ObrigacaoRegulatoriaBase;02_tipos_documento.csv;Coordenacao Regulatoria;Dados Mestre;Tecnologia;PENDENTE;PENDENTE;PENDENTE;obrigacoes ativas e revisadas;
L001;BASE_MESTRE;7;07_limites_parametros.csv;Catalogos;LimiteParametro;tenant existente;Coordenacao Tecnica Ambiental;Dados Mestre;Tecnologia;PENDENTE;PENDENTE;PENDENTE;limites consultaveis por meio;
L002;OPERACAO_INICIAL;8;08_usuarios.csv;Onboarding;Usuario;tenant existente;Coordenacao Operacional;RH/Operacao;Tecnologia;PENDENTE;PENDENTE;PENDENTE;usuarios criados com perfil correto;
L002;OPERACAO_INICIAL;9;09_empreendimentos.csv;Onboarding;Empreendimento;empresa existente;Coordenacao Operacional;Cadastro Cliente;Tecnologia;PENDENTE;PENDENTE;PENDENTE;empreendimentos listados corretamente;
L002;OPERACAO_INICIAL;10;10_acessos_empreendimento.csv;Onboarding;EmpreendimentoAcesso;08_usuarios.csv|09_empreendimentos.csv;Coordenacao Operacional;Cadastro Cliente;Tecnologia;PENDENTE;PENDENTE;PENDENTE;acessos conferidos com a carteira;
L003;REGULATORIO;11;11_processos_documentos.csv;Regulatorio;Processo|Documento;03_tipos_processo.csv|09_empreendimentos.csv;Coordenacao Regulatoria;Operacao Regulatoria;Tecnologia;PENDENTE;PENDENTE;PENDENTE;processos e docs aparecem por posto;
L003;REGULATORIO;12;12_licencas_alvaras_condicionantes.csv;Regulatorio;LicencaAmbiental|CondicaoLicenca|AlvaraUrbanistico;09_empreendimentos.csv;Coordenacao Regulatoria;Operacao Regulatoria;Tecnologia;PENDENTE;PENDENTE;PENDENTE;vencimentos e condicionantes corretos;
L004;TECNICO;13;13_sst.csv;SST;Funcionario|ASO|DocumentoSST|TreinamentoTipo|TreinamentoExecucao|TreinamentoParticipante|EntregaEPI;08_usuarios.csv|09_empreendimentos.csv;Coordenacao SST;SST/Cliente;Tecnologia;PENDENTE;PENDENTE;PENDENTE;SST visivel e com vencimentos corretos;
L004;TECNICO;14;14_equipamentos_residuos.csv;Tecnico;BombaAbastecimento|Tanque|TesteEstanqueidade|Transportadora|MTR|CCR|PGRS|PGRSExigencia;09_empreendimentos.csv;Coordenacao Tecnica;Operacao Tecnica;Tecnologia;PENDENTE;PENDENTE;PENDENTE;equipamentos e residuos rastreaveis;
L004;TECNICO;15;15_outorga_monitoramento.csv;Tecnico;PocoArtesiano|LaudoAgua|PocoMonitoramento|CampanhaMonitoramento|ParametroContaminante;09_empreendimentos.csv|07_limites_parametros.csv;Coordenacao Tecnica Ambiental;Operacao Tecnica;Tecnologia;PENDENTE;PENDENTE;PENDENTE;agua e monitoramento rastreaveis;
